"id","date","dayCounter","rses_1","rses_2","rses_3","rses_4","socSit","socInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance"
"LL08PT",2023-10-24,1,5.5,6.75,1.25,2,59,47.5,5.5,3.875,0.577350269189626,0.5,0.5,0,44.6168876846723,41.7332800851631,1.29099444873581,0.144337567297406,0.571428571428571
"LL08PT",2023-10-25,2,6,6.75,1,2,43.75,44,4.75,3.9375,0,0.5,0,0,42.6956281914983,42.7473196040797,1.70782512765993,0.125,0.571428571428571
"LL08PT",2023-10-26,3,6,7,1,2,79,66.3333333333333,6,4,0,0,0,0,25.9422435421457,43.66157731156,1,0,0.428571428571429
"LL08PT",2023-10-27,4,6.33333333333333,7,1,1.66666666666667,79.6666666666667,76.6666666666667,6.66666666666667,4,0.577350269189626,0,0,0.577350269189626,35.2183664205672,40.4145188432738,0.577350269189626,0,0.428571428571429
"LL08PT",2023-10-28,5,6,7,1,2,0,12,3,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"LL08PT",2023-10-29,6,6,7,1,1.5,27.5,17,5,3.875,0,0,0,0.707106781186548,3.53553390593274,11.3137084989848,0,0.176776695296637,0.285714285714286
"LL08PT",2023-10-30,7,6,7,1,2,75,50,6,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"LL08PT",2023-10-31,8,6.5,7,1,2,100,75,7,4.125,0.707106781186548,0,0,0,0,35.3553390593274,0,0.176776695296637,0.285714285714286
"LL08PT",2023-11-01,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"LL08PT",2023-11-02,10,6,7,1,2,50,49,6,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"LL08PT",2023-11-03,11,6,7,1,2,40,25,5,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"LL08PT",2023-11-04,12,6,7,1,1.66666666666667,19.6666666666667,20,4.33333333333333,3.91666666666667,0,0,0,0.577350269189626,34.0636658821879,34.6410161513775,2.3094010767585,0.144337567297406,0.428571428571429
"LL08PT",2023-11-05,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"LL08PT",2023-11-06,14,6,7,1,2,100,100,6,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
