"id","date","dayCounter","rses_1","rses_2","rses_3","rses_4","socSit","socInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance"
"ND04AD",2023-10-20,1,4.42857142857143,5.85714285714286,2,2.85714285714286,62.8571428571429,72.4285714285714,5.28571428571429,3.78571428571429,1.13389341902768,0.690065559342354,0.577350269189626,1.21498579258791,45.3557367611073,31.2722301883377,0.951189731211342,0.336296354567275,1
"ND04AD",2023-10-21,2,6.28571428571429,6.85714285714286,1.14285714285714,1.57142857142857,97.1428571428571,90,5.85714285714286,3.96428571428571,0.755928946018454,0.377964473009227,0.377964473009227,0.786795792469443,7.55928946018454,18.8944436276912,1.0690449676497,0.224933852710609,1
"ND04AD",2023-10-22,3,7,7,1,1.5,100,100,7,4.125,0,0,0,0.707106781186548,0,0,0,0.176776695296637,0.285714285714286
"ND04AD",2023-10-23,4,6.14285714285714,6.71428571428571,1.28571428571429,2,93,48,4.28571428571429,4.03571428571429,0.690065559342354,0.487950036474267,0.487950036474267,0.577350269189626,18.5202591774521,40.7390066971038,0.951189731211342,0.0944911182523068,1
"ND04AD",2023-10-24,5,6.4,7,1,1.2,100,81,6,3.9,0.547722557505166,0,0,0.447213595499958,0,42.485291572496,1.22474487139159,0.136930639376292,0.714285714285714
"ND04AD",2023-10-25,6,6.25,7,1,1.25,71.25,56.5,5.25,3.875,1.5,0,0,0.5,23.9913178740421,32.9190927375994,0.957427107756338,0.25,0.571428571428571
"ND04AD",2023-10-26,7,4.4,5.2,3,3.8,0.4,0.2,3.2,4.1,0.894427190999916,1.30384048104053,1.58113883008419,1.09544511501033,0.894427190999916,0.447213595499958,0.836660026534076,0.223606797749979,0.714285714285714
"ND04AD",2023-10-27,8,6.6,7,1,1.4,82.8,78.8,6.4,4,0.547722557505166,0,0,0.547722557505166,15.8018986201026,13.7549990912395,0.547722557505166,0,0.714285714285714
"ND04AD",2023-10-28,9,6,7,1,1,100,100,6,3.75,0,0,0,0,0,0,0,0,0.285714285714286
"ND04AD",2023-10-29,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ND04AD",2023-10-30,11,7,7,1,1,100,100,6,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"ND04AD",2023-10-31,12,6,7,1,2,100,100,7,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"ND04AD",2023-11-01,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ND04AD",2023-11-02,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ND04AD",2023-11-03,15,7,7,1,1,51,54,6,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
