"id","date","dayCounter","rses_1","rses_2","rses_3","rses_4","socSit","socInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance"
"SB12KR",2023-10-31,1,5.8,7,1,2,16.6,52.4,5.8,3.95,0.447213595499958,0,0,0,20.0698779268834,34.0631765987848,0.447213595499958,0.111803398874989,0.714285714285714
"SB12KR",2023-11-01,2,7,7,1,1,100,100,7,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"SB12KR",2023-11-02,3,6,7,1,1.75,28.75,32.25,5,3.9375,0,0,0,0.5,41.3067791046458,36.1513024200604,0,0.125,0.571428571428571
"SB12KR",2023-11-03,4,6,7,1,2,100,90,5,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"SB12KR",2023-11-04,5,6,7,1,1.5,100,66.5,6,3.875,0,0,0,0.707106781186548,0,47.3761543394987,0,0.176776695296637,0.285714285714286
"SB12KR",2023-11-05,6,5.66666666666667,7,1,2,43,53.6666666666667,5.33333333333333,3.91666666666667,0.577350269189626,0,0,0,49.7895571380184,41.2350983184633,0.577350269189626,0.144337567297406,0.428571428571429
"SB12KR",2023-11-06,7,6,7,1,2,3.33333333333333,6.66666666666667,5,4,0,0,0,0,5.77350269189626,2.88675134594813,0,0,0.428571428571429
"SB12KR",2023-11-07,8,5.66666666666667,7,1,2,15.6666666666667,64.6666666666667,5.66666666666667,3.91666666666667,0.577350269189626,0,0,0,22.9419557434264,38.7986254052039,0.577350269189626,0.144337567297406,0.428571428571429
"SB12KR",2023-11-08,9,6,7,1,2,17,54.2,5.6,4,0,0,0,0,19.3907194296653,37.0229658455397,0.547722557505166,0,0.714285714285714
"SB12KR",2023-11-09,10,6,7,1,2,27,59.5,5.5,4,0,0,0,0,8.48528137423857,38.8908729652601,0.707106781186548,0,0.285714285714286
"SB12KR",2023-11-10,11,6,7,1,2,23,38,5,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"SB12KR",2023-11-11,12,6,7,1,2,44,46,6,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"SB12KR",2023-11-12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"SB12KR",2023-11-13,14,6,7,1,2,58.8,24.8,5.2,4,0,0,0,0,40.039980019975,21.4406156628022,0.447213595499958,0,0.714285714285714
