"id","date","dayCounter","rses_1","rses_2","rses_3","rses_4","socSit","socInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance"
"SF06IM",2023-07-26,1,5,5,1.5,3,10.5,19,4.5,3.625,0,1.4142135623731,0.707106781186548,0,14.8492424049175,26.8700576850888,0.707106781186548,0.176776695296637,0.285714285714286
"SF06IM",2023-07-27,2,4.66666666666667,4.66666666666667,2.66666666666667,3.33333333333333,54,54,5,3.83333333333333,0.577350269189626,1.52752523165195,0.577350269189626,0.577350269189626,34.0734500748016,46.8081189538738,1,0.288675134594813,0.428571428571429
"SF06IM",2023-07-28,3,4,5,3,4,51,48,5,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"SF06IM",2023-07-29,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"SF06IM",2023-07-30,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"SF06IM",2023-07-31,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"SF06IM",2023-08-01,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"SF06IM",2023-08-02,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"SF06IM",2023-08-03,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"SF06IM",2023-08-04,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"SF06IM",2023-08-05,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"SF06IM",2023-08-06,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"SF06IM",2023-08-07,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"SF06IM",2023-08-08,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"SF06IM",2023-08-09,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"SF06IM",2023-08-10,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"SF06IM",2023-08-11,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"SF06IM",2023-08-12,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"SF06IM",2023-08-13,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"SF06IM",2023-08-14,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"SF06IM",2023-08-15,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"SF06IM",2023-08-16,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"SF06IM",2023-08-17,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"SF06IM",2023-08-18,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"SF06IM",2023-08-19,25,4,5,3,4,68,69,5,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
