"id","date","dayCounter","rses_1","rses_2","rses_3","rses_4","socSit","socInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance"
"SL03TO",2023-07-16,1,1,5,4,7,100,100,6.5,4.25,0,0,1.4142135623731,0,0,0,0.707106781186548,0.353553390593274,0.285714285714286
"SL03TO",2023-07-17,2,1,1,7,7,17,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"SL03TO",2023-07-18,3,1,1,7,7,0,0,3,4,0,0,0,0,0,0,0,0,0.285714285714286
"SL03TO",2023-07-19,4,1,1,7,7,23.5,15.5,3,4,0,0,0,0,30.4055915910215,21.920310216783,0,0,0.285714285714286
"SL03TO",2023-07-20,5,1,1.5,6.5,7,100,79,2.5,4,0,0.707106781186548,0.707106781186548,0,0,29.698484809835,0.707106781186548,0,0.285714285714286
"SL03TO",2023-07-21,6,1.66666666666667,2.33333333333333,6,6.33333333333333,88.6666666666667,82.6666666666667,4.33333333333333,4.08333333333333,0.577350269189626,0.577350269189626,0,0.577350269189626,19.6299091524473,16.1658075373095,1.15470053837925,0.144337567297406,0.428571428571429
"SL03TO",2023-07-22,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"SL03TO",2023-07-23,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"SL03TO",2023-07-24,9,2,3,6,5,25,0,5,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"SL03TO",2023-07-25,10,3,2,6,7,23,0,5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"SL03TO",2023-07-26,11,2,2,6,6,22,0,3,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"SL03TO",2023-07-27,12,3,2,6,5,0,0,3,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"SL03TO",2023-07-28,13,2,2,6,6,100,100,5,4,0,0,0,0,0,0,0,0,0.285714285714286
"SL03TO",2023-07-29,14,2,2,6,6,100,100,6,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"SL03TO",2023-07-30,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"SL03TO",2023-07-31,16,2.5,3,5,5.5,47,59,5.5,4,0.707106781186548,0,0,0.707106781186548,33.9411254969543,57.9827560572969,0.707106781186548,0,0.285714285714286
"SL03TO",2023-08-01,17,2,3,5,6,23,22,5,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"SL03TO",2023-08-02,18,3,3,5,5,24,16,6,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"SL03TO",2023-08-03,19,3,3,5,5,29.5,13,3,4,0,0,0,0,20.5060966544099,18.3847763108502,0,0,0.285714285714286
"SL03TO",2023-08-04,20,3,3,5,5,100,80,5,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
