"id","n_eve"
"AD06KA",11
"AD06VL",10
"AD09DR",27
"AD09HL",18
"AD09JN",6
"AD12HK",16
"AE03TO",25
"AE05TB",16
"AE08TO",21
"AG06DE",22
"AG12SE",45
"AI02RB",23
"AJ04SE",90
"AJ10AK",24
"AJ11OA",12
"AN01TO",17
"AN02DE",5
"AN02XX",4
"AN09RO",43
"AN10JR",6
"AS05MH",16
"AT04IA",5
"BA03RG",47
"BA08AD",19
"BI10DE",28
"BI11WL",19
"BO08FA",25
"BR02HR",13
"BR12TO",17
"BT02IG",17
"BT08EW",45
"BT08RL",4
"BT09VL",10
"CA02MR",13
"CA06FI",12
"CR04EW",2
"CR07HL",10
"CR08LR",17
"CR09SE",16
"CR10TO",34
"DN12MS",48
"DN12TO",17
"DR02RL",13
"DR07EA",5
"DR09FA",7
"DR10AD",20
"DR11KA",5
"EA03AE",62
"EI11CR",25
"EK01GO",5
"EK06BR",3
"FA07OA",22
"FA12CR",8
"FH01FO",23
"FT05SY",15
"GB06JH",12
"GB10TO",56
"GL07NB",43
"GL09IM",11
"GL09MH",1
"HI01IG",24
"HI05MR",60
"HI06CR",19
"HI09HR",18
"HL03PT",24
"HL04MR",32
"HL08RL",15
"HL20VK",2
"IG03RM",18
"IG07RL",4
"II08ER",24
"IN08OE",17
"IS02AE",64
"JD01HR",54
"JD08AD",3
"JH12MR",12
"JN06AM",11
"JN06MR",2
"JS08VC",16
"KR01DS",4
"KR01WR",3
"KR08EI",15
"KR09AE",27
"KR09AF",5
"KR12RL",9
"KT04MT",36
"KT07HN",21
"KT12EI",26
"KT12SE",32
"LC09FN",5
"LD11VK",26
"LN07AD",15
"MC10TO",7
"MC11DT",14
"MH03GZ",8
"ML07SE",41
"MN06CA",23
"MOZ08S",18
"MR01DM",29
"MR02OI",11
"MR03TO",31
"MR06WL",7
"MR07TO",18
"MR10JR",13
"NE01TH",24
"NN01SS",24
"NN08SE",1
"NT02CR",26
"NT09TO",13
"OA03VL",22
"OG01SR",62
"PG11WL",31
"PT02RC",19
"PT09MS",17
"RF04PT",25
"RG08MR",19
"RG12CR",20
"RO12MA",38
"RT12RL",38
"RZ12JN",50
"SB01MC",10
"SB02CR",13
"SB08DM",12
"SB12HL",17
"SB12KR",23
"SE01DT",32
"SE01EI",24
"SE04TO",13
"SE06HL",37
"SE07UF",16
"SL03HL",12
"SL06GR",23
"SL07PT",17
"SL09MC",16
"SM01MR",15
"SM02RU",47
"SM03SM",38
"SM06AD",24
"SM11RC",8
"SN01WL",13
"SN02VL",21
"SN07SR",13
"SR10DA",17
"SS05HR",22
"SS09JH",21
"SS09MR",13
"SS12DR",31
"SS12GA",26
"TN10PS",21
"TN11HL",35
"UA12TO",16
"UE05TO",23
"UE06UR",16
"UR05RL",28
"UR07RL",75
"UR12TR",38
"VL08ZK",14
"YO06RL",102
