"","x"
"1",""
"2","AD06VL"
"3","AD09DR"
"4","AD09JN"
"5","AD12HU"
"6","AE03HN"
"7","AE03TO"
"8","AE05TB"
"9","AE08TO"
"10","AE11CR"
"11","AG06DE"
"12","AG12SE"
"13","AI02RB"
"14","AJ04SE"
"15","AJ10AK"
"16","AJ10TO"
"17","AK04WL"
"18","AN01TO"
"19","AN02DE"
"20","AN02XX"
"21","AN03OT"
"22","AN07DR"
"23","AN09RO"
"24","AN10JR"
"25","AS05MH"
"26","AT04IA"
"27","BA01MC"
"28","BA03RG"
"29","BA08AD"
"30","BI10DE"
"31","BI11WL"
"32","BO08FA"
"33","BR02HR"
"34","BT02IG"
"35","BT08EW"
"36","BT08RL"
"37","BT09VL"
"38","CA02MR"
"39","CA06FI"
"40","CR04EW"
"41","CR07HL"
"42","CR08LR"
"43","CR09SE"
"44","CR10TO"
"45","DN09BR"
"46","DN12MS"
"47","DR02RL"
"48","DR07EA"
"49","DR09FA"
"50","DR10AD"
"51","DR11KA"
"52","EA03AE"
"53","EI06AE"
"54","EI11CR"
"55","EK01GO"
"56","EK06BR"
"57","EK12AI"
"58","FA07OA"
"59","FA12CR"
"60","FH01FO"
"61","FT05SY"
"62","GB06JH"
"63","GB10TO"
"64","GL09IM"
"65","GL09MH"
"66","HI01IG"
"67","HI05MR"
"68","HI09HR"
"69","HL03PT"
"70","HL04MR"
"71","HL08RL"
"72","HL20VK"
"73","HN05YS"
"74","IG07RL"
"75","IN08OE"
"76","IS02AE"
"77","JD01HR"
"78","JD08AD"
"79","JH12MR"
"80","JN06AM"
"81","JN06MR"
"82","JS05KR"
"83","JS08VC"
"84","KR01DS"
"85","KR01WR"
"86","KR04SB"
"87","KR08EI"
"88","KR09AE"
"89","KR09AF"
"90","KR12RL"
"91","KT04MT"
"92","KT07HN"
"93","KT12EI"
"94","KT12SE"
"95","LC09FN"
"96","LD11VK"
"97","LL08PT"
"98","LN07AD"
"99","MC10TO"
"100","MC11DT"
"101","ML07SE"
"102","MN06CA"
"103","MN09JA"
"104","MOZ08S"
"105","MR01DM"
"106","MR01SE"
"107","MR02OI"
"108","MR03TO"
"109","MR06WL"
"110","MR07TO"
"111","MR10JR"
"112","MR11HI"
"113","NE01TH"
"114","NN01SS"
"115","NN08SE"
"116","NT02CR"
"117","NT09TO"
"118","OA03VL"
"119","OG01SR"
"120","PG11WL"
"121","PT02RC"
"122","PT09MS"
"123","RF04PT"
"124","RG08MR"
"125","RG12CR"
"126","RO12MA"
"127","RT11AM"
"128","RT12RL"
"129","RU04PT"
"130","RZ12JN"
"131","SB01MC"
"132","SB08DM"
"133","SB12HL"
"134","SB12KR"
"135","SE01DT"
"136","SE01EI"
"137","SE04TO"
"138","SE06HL"
"139","SE07UF"
"140","SF06IM"
"141","SL03HL"
"142","SL03TO"
"143","SL06CR"
"144","SL06GR"
"145","SL07PT"
"146","SL09MC"
"147","SM02RU"
"148","SM03SM"
"149","SM06AD"
"150","SM06HN"
"151","SM11HN"
"152","SM11RC"
"153","SN01WL"
"154","SN02VL"
"155","SN07SR"
"156","SR10DA"
"157","SS01OI"
"158","SS03FA"
"159","SS05HR"
"160","SS08CR"
"161","SS09JH"
"162","SS09MR"
"163","SS12DR"
"164","SS12GA"
"165","TN10HL"
"166","TN10PS"
"167","TN11HL"
"168","UA12TO"
"169","UE03HN"
"170","UE05TO"
"171","UE06UR"
"172","UR05RL"
"173","UR07RL"
"174","UR12TR"
"175","WL03LD"
"176","YO06RL"
"177","ZZ99ZZ"
