"id","dateDream","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","dateEMA","rses_1","rses_2","rses_3","rses_4","propEMAsocSit","propEMAsocInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance","propDreamSocSit","propDreamSocInt","propDreamMulti","propDreamRealMulti","propDreamIntcor","rses_overall","iat","nlt","iso","huo","xtra","rses_totalMean_cwc","propEMAsocSit_cwc","propEMAsocInt_cwc","excl_cwc","propDreamSocSit_cwc","propDreamSocInt_cwc","propDreamMulti_cwc","propDreamRealMulti_cwc","propDreamIntcor_cwc","rses_overall_gmc","nlt_gmc","iat_gmc","iso_gmc","huo_gmc","xtra_gmc","rses_totalSd_gmc","exclSd_gmc"
"AD06VL","2023-10-21",1,1,2,"In meinem Traum war ich in einem Haus, was mir nicht bekannt ist. Das Fenster im Badezimmer war geöffnet und daneben war ein Wespennest. Ich bin auf eine Wespe getreten. Freunde von mir waren auch dabei. Ich hatte Schmerzen am Fuß. Abgesehen davon, war die Stimmung gut. ","1697860800","1",1,1,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,47,15.6666666666667,3,1,"2023-10-21",6.42857142857143,6.28571428571429,1,1,80,78,6.71428571428571,3.67857142857143,0.534522483824849,0.487950036474267,0,0,25,26.134268690744,0.487950036474267,0.237797432802835,1,0.333333333333333,0,0,NA,0,NA,NA,NA,NA,NA,NA,-0.293367346938774,-6.39115646258504,-1.65986394557822,-0.265306122448983,-0.333333333333334,-0.75,-0.0115501547725735,NA,-0.0031201248049922,NA,NA,NA,NA,NA,NA,0.075309554776138,-0.317542871737537
"AD06VL","2023-10-22",1,2,5,"In meinem Traum bin ich in einer fremden Stadt in eine WG gezogen, zusammen mit 3 weiteren Mädels. Sie waren sehr nett und wir haben uns auf Anhieb gut verstanden. Unsere Wohnung war schon teilweise eingerichtet und wir haben in der schönen großen Küche einen Kaffee getrunken. Am Abend hat jeder von uns ein paar Freunde eingeladen und wir haben eine kleine Einweihungsparty im Garten gefeiert. Es waren 3-4 gute Freunde von mir da. Die Stimmung war gut und wir hatten Spaß ","1697948280","2",1,2,3,2,2,2,2,2,1,0,0,0,1,0,0,0,0,2,0,0,82,27.3333333333333,1.5,2,"2023-10-22",7,7,1,1,91.5714285714286,80,7,4,0,0,0,0,15.6189750288673,16.3401346383682,0,0,1,0.666666666666667,1,0.025,1,0.0218408736349454,NA,NA,NA,NA,NA,NA,0.0280612244897958,5.18027210884355,0.340136054421777,0.0204081632653068,2.22044604925031e-16,0.25,0.0134498452274265,0.8,0.0187207488299532,NA,NA,NA,NA,NA,NA,-0.162487878026697,-0.805492908211804
"AD06VL","2023-10-23",2,-77,-77,"-66","1698034080","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-23",7,6.85714285714286,1,1,78.8571428571429,68,7,3.96428571428571,0,0.377964473009227,0,0,22.6305735045062,17.0489491367259,0,0.0944911182523068,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00765306122449427,-7.53401360544214,-11.6598639455782,0.0204081632653068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0679967597743902,-0.805492908211804
"AD06VL","2023-10-24",2,-77,-77,"-66","1698122040","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-24",7,7,1,1,89.6666666666667,73.3333333333333,7,4,0,0,0,0,16.9784176726415,16.2193300313751,0,0,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0280612244897958,3.27551020408166,-6.32653061224492,0.0204081632653068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.162487878026697,-0.805492908211804
"AD06VL","2023-10-25",1,2,3,"Ich kann mich nicht mehr an alle Träume erinnern, aber der letzte bevor ich aufgewacht bin war, dass ich verschlafen habe. Ich war zwischendurch öfter wach in der Nacht und hatte keine Uhr in meiner Nähe, daher dachte ich, dass wir schon viel zu spät haben. Dann habe ich geträumt, dass ich plötzlich um 13 Uhr aufwache mit ganz vielen verpassten Anrufen von meiner Freundin, mit der ich zusammen um 9 zur Uni fahren wollte.","1698206400","5",1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,37.5,2,1,"2023-10-25",7,7,1,1,88.2857142857143,69.4285714285714,7,4,0,0,0,0,14.522560445898,23.006210341682,0,0,1,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0.0280612244897958,1.89455782312926,-10.2312925170068,0.0204081632653068,-0.666666666666667,NA,-0.0115501547725735,NA,-0.0031201248049922,NA,NA,NA,NA,NA,NA,-0.162487878026697,-0.805492908211804
"AD06VL","2023-10-26",2,-77,-77,"-66","1698292860","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-26",7,7,1,1,61.6666666666667,49.1666666666667,7,4,0,0,0,0,39.8931907305829,21.4235073381243,0,0,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0280612244897958,-24.7244897959183,-30.4931972789115,0.0204081632653068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.162487878026697,-0.805492908211804
"AD06VL","2023-10-27",1,2,3,"Ich kann mich fast garnicht mehr an meinen Traum erinnern, ich weiß nur noch, dass mein Freund dabei war. Zwischendurch waren stressige Situationen im Traum, aber im Allgemeinen war er nicht sehr positiv/sehr negativ. Wir waren in unserem gewohnten Umfeld. ","1698379260","7",1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,40,40,1,1,"2023-10-27",6.85714285714286,6.42857142857143,1.28571428571429,1.14285714285714,74.2857142857143,73,7,3.92857142857143,0.377964473009227,1.13389341902768,0.755928946018455,0.377964473009227,34.8267822502275,25.0998007960223,0,0.121987509118567,1,1,1,0.0136986301369863,0,0,NA,NA,NA,NA,NA,NA,-0.0433673469387741,-12.1054421768707,-6.65986394557822,0.0204081632653068,0.333333333333333,0.25,0.00214847536441283,-0.2,-0.0031201248049922,NA,NA,NA,NA,NA,NA,-0.04050036890813,-0.805492908211804
"AD06VL","2023-10-28",2,-77,-77,"-66","1698465720","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-28",7,7,1,1,100,97.1428571428571,7,4,0,0,0,0,0,7.55928946018454,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0280612244897958,13.608843537415,17.4829931972789,0.0204081632653068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.162487878026697,-0.805492908211804
"AD06VL","2023-10-29",1,2,4,"Ich kann mich nur noch ein bisschen an die Träume erinnern. Es war ein normaler Tag und ich war zusammen mit meinen Freundinnen am lernen. Es ist nichts besonderes passiert. In einem späteren Traum haben mein Freund und ich uns Autos angeguckt, die wir kaufen könnten. In beiden Träumen ist nichts schlimmes oder aufregendes vorgefallen.","1698560520","9",2,2,3,2,2,2,0,0,2,0,0,0,1,0,0,0,0,3,0,0,55,18.3333333333333,1.5,1,"2023-10-29",7,7,1,1,100,100,7,4,0,0,0,0,0,0,0,0,1,0.666666666666667,1,0.02,0,0,NA,NA,NA,NA,NA,NA,0.0280612244897958,13.608843537415,20.3401360544218,0.0204081632653068,2.22044604925031e-16,0.25,0.00844984522742653,-0.2,-0.0031201248049922,NA,NA,NA,NA,NA,NA,-0.162487878026697,-0.805492908211804
"AD06VL","2023-10-30",1,2,4,"Der erste Traum, an den ich mich erinnere ist nicht ganz so positiv wie der zweite. In diesem Traum war ich auf einem riesen Containerschiff und es war allgemein eine stressige Atmosphäre. Ich habe im Allgemeinen Angst vor großen Schiffen, daher war ich sehr angespannt in meinem Traum. Ich weiß nicht mehr genau, was passiert ist und die Leute um mich herum waren mir alle unbekannt.   In meinem zweiten Traum war ich mit meinen zwei engsten Freundinnen im Urlaub auf Mallorca. Es ist nichts spezielles passiert, aber wir hatten eine schöne Zeit. ","1698645720","10",2,2,2,2,1,1,0,0,1,0,1,0,1,0,1,0,0,2,2,0,92,46,1,1,"2023-10-30",7,7,1,1,89.4285714285714,91.4285714285714,7,4,0,0,0,0,19.3378484054556,14.8195495079657,0,0,1,1,0.5,0.0109375,0,0,NA,NA,NA,NA,NA,NA,0.0280612244897958,3.03741496598636,11.7687074829932,0.0204081632653068,0.333333333333333,-0.25,-0.000612654772573473,-0.2,-0.0031201248049922,NA,NA,NA,NA,NA,NA,-0.162487878026697,-0.805492908211804
