"id","iso_1","iso_2","iso_3","isolation"
"DN12TO",4,5,5,4.66666666666667
"SB02CR",2,2,2,2
"RT11AM",3,3,3,3
"YO06RL",3,2,3,2.66666666666667
"AN09RO",3,3,2,2.66666666666667
"CR08LR",2,2,2,2
"AN02XX",4,5,4,4.33333333333333
"BA03RG",3,4,4,3.66666666666667
"EK01GO",2,4,4,3.33333333333333
"MR03TO",4,4,4,4
"SL03TO",3,1,4,2.66666666666667
"PT09MS",3,1,2,2
"AG06DE",4,3,5,4
"EI11CR",5,4,4,4.33333333333333
"KT04MT",4,3,4,3.66666666666667
"TR27LS",3,4,4,3.66666666666667
"SL06GR",3,3,3,3
"JD08AD",2,4,4,3.33333333333333
"SN07SR",3,4,4,3.66666666666667
"SS12GA",5,5,5,5
"OG01SR",4,3,3,3.33333333333333
"AD06KA",4,4,2,3.33333333333333
"MR01DM",4,3,4,3.66666666666667
"AJ11OA",3,2,2,2.33333333333333
"MR06WL",1,2,1,1.33333333333333
"RU04PT",1,2,2,1.66666666666667
"TN10PS",1,2,3,2
"SM02RU",4,3,4,3.66666666666667
"FA07OA",4,4,5,4.33333333333333
"NN01SS",3,3,3,3
"GB10TO",4,3,4,3.66666666666667
"NT09TO",3,4,4,3.66666666666667
"DR11KA",3,3,4,3.33333333333333
"HI09HR",3,3,4,3.33333333333333
"FA12CR",3,3,4,3.33333333333333
"SS12DR",4,3,4,3.66666666666667
"CR10TO",2,2,2,2
"LD11VK",4,4,5,4.33333333333333
"KR01DS",3,4,4,3.66666666666667
"KR09AE",2,4,4,3.33333333333333
"SM06HN",2,1,2,1.66666666666667
"SL09MC",3,2,3,2.66666666666667
"BT09VL",4,4,5,4.33333333333333
"SM01MR",4,4,4,4
"DR07EA",4,4,3,3.66666666666667
"BT02IG",2,4,4,3.33333333333333
"SL06CR",3,2,3,2.66666666666667
"GB06JH",1,2,2,1.66666666666667
"AN01TO",3,3,4,3.33333333333333
"AE08TO",2,5,2,3
"SE06HL",4,3,5,4
"UE06UR",3,4,5,4
"CA06FI",4,4,4,4
"AN10JR",2,4,4,3.33333333333333
"MC11DT",4,4,5,4.33333333333333
"UA12TO",3,3,4,3.33333333333333
"II08ER",1,1,1,1
"DR10AD",3,4,4,3.66666666666667
"DN01SE",4,3,2,3
"BT08RL",3,2,2,2.33333333333333
"AD09HL",4,3,4,3.66666666666667
"AN02DE",3,3,4,3.33333333333333
"SS01OI",3,4,5,4
"EA03AE",4,4,4,4
"WL03LD",3,4,4,3.66666666666667
"IG07RL",2,2,2,2
"BO08FA",4,4,4,4
"EI06AE",4,4,4,4
"SE01EI",3,1,2,2
"SF06IM",4,3,5,4
"DR02RL",4,2,3,3
"UE05TO",3,3,4,3.33333333333333
"RZ12JN",4,1,3,2.66666666666667
"TN10HL",4,3,3,3.33333333333333
"MR11HI",2,4,4,3.33333333333333
"AT04IA",4,5,4,4.33333333333333
"SN02VL",3,3,4,3.33333333333333
"LN07AD",2,3,4,3
"FH01FO",2,2,2,2
"AD09JN",3,4,5,4
"KT12SE",2,4,4,3.33333333333333
"ML07SE",4,3,4,3.66666666666667
"AG12SE",1,3,4,2.66666666666667
"SE04TO",4,4,5,4.33333333333333
"RF04PT",3,4,4,3.66666666666667
"SN01WL",4,4,4,4
"RT12RL",2,4,5,3.66666666666667
"UR07RL",5,3,1,3
"UR05RL",3,3,3,3
"HL03PT",4,4,5,4.33333333333333
"AE03TO",4,4,5,4.33333333333333
"SS09JH",4,4,4,4
"JN06AM",3,4,5,4
"HI05MR",3,4,5,4
"OA03VL",2,4,4,3.33333333333333
"JS08VC",2,3,3,2.66666666666667
