"vpncode","nlt_1","nlt_2","nlt_3","nlt_4","nlt_5","nlt_6","nlt_7","nlt_8","nlt_9","nlt_10","nlt_11","nlt_12","nlt_13","nlt_14","nlt_15","nlt_16","nlt_17","nlt_18","nlt_19","nlt_20","nlt_21","nlt_22","nlt_23","nlt_24","nlt_25","nlt_26","initial","nlt_1_noni","nlt_2_noni","nlt_3_noni","nlt_4_noni","nlt_5_noni","nlt_6_noni","nlt_7_noni","nlt_8_noni","nlt_9_noni","nlt_10_noni","nlt_11_noni","nlt_12_noni","nlt_13_noni","nlt_14_noni","nlt_15_noni","nlt_16_noni","nlt_17_noni","nlt_18_noni","nlt_19_noni","nlt_20_noni","nlt_21_noni","nlt_22_noni","nlt_23_noni","nlt_24_noni","nlt_25_noni","nlt_26_noni","initial_r","initial_r1","initial_r2","initial_r3","initial_r4","mean_noni","nlt_1_sub","nlt_2_sub","nlt_3_sub","nlt_4_sub","nlt_5_sub","nlt_6_sub","nlt_7_sub","nlt_8_sub","nlt_9_sub","nlt_10_sub","nlt_11_sub","nlt_12_sub","nlt_13_sub","nlt_14_sub","nlt_15_sub","nlt_16_sub","nlt_17_sub","nlt_18_sub","nlt_19_sub","nlt_20_sub","nlt_21_sub","nlt_22_sub","nlt_23_sub","nlt_24_sub","nlt_25_sub","nlt_26_sub","ipf1","ipf2","ipf3","ipf4","ipf5","score"
"DN12TO",4,2,2,4,2,1,4,5,5,4,4,4,4,3,4,2,2,4,4,4,4,3,4,2,4,1,"JK",4,2,2,4,2,1,4,5,5,4,NA,4,4,3,4,2,2,4,4,4,4,3,4,2,4,1,"JK","J","K","","",3.28,0.72,-1.28,-1.28,0.72,-1.28,-2.28,0.72,1.72,1.72,0.72,0.72,0.72,0.72,-0.28,0.72,-1.28,-1.28,0.72,0.72,0.72,0.72,-0.28,0.72,-1.28,0.72,-2.28,3.99623506927855,4.1142474916388,NA,NA,NA,4.05524128045867
"SB02CR",4,3,4,2,2,2,4,2,2,2,2,4,4,2,2,3,2,4,4,2,2,2,2,2,2,2,"PK",4,3,4,2,2,2,4,2,2,2,NA,4,4,2,2,3,2,4,4,2,2,2,2,2,2,2,"PK","P","K","","",2.64,1.36,0.36,1.36,-0.64,-0.64,-0.64,1.36,-0.64,-0.64,-0.64,-0.64,1.36,1.36,-0.64,-0.64,0.36,-0.64,1.36,1.36,-0.64,-0.64,-0.64,-0.64,-0.64,-0.64,-0.64,3.10803631151457,2.1142474916388,NA,NA,NA,2.61114190157668
"YO06RL",3,2,3,4,4,4,3,2,2,4,3,3,4,4,3,3,2,2,4,3,3,3,3,4,4,3,"JMA",NA,2,3,4,4,4,3,2,2,4,3,3,4,4,3,3,2,2,4,3,3,3,3,4,4,3,"JMA","J","M","A","",3.16,-0.16,-1.16,-0.16,0.84,0.84,0.84,-0.16,-1.16,-1.16,0.84,-0.16,-0.16,0.84,0.84,-0.16,-0.16,-1.16,-1.16,0.84,-0.16,-0.16,-0.16,-0.16,0.84,0.84,-0.16,3.99623506927855,3.03350215002389,2.13288103201147,NA,NA,3.0542060837713
"AN09RO",4,5,3,2,4,2,4,2,4,5,3,3,5,4,5,1,4,2,2,2,3,5,2,4,4,4,"VS",4,5,3,2,4,2,4,2,4,5,3,3,5,4,5,1,4,2,NA,2,3,5,2,4,4,4,"VS","V","S","","",3.44,0.56,1.56,-0.44,-1.44,0.56,-1.44,0.56,-1.44,0.56,1.56,-0.44,-0.44,1.56,0.56,1.56,-2.44,0.56,-1.44,-1.44,-1.44,-0.44,1.56,-1.44,0.56,0.56,0.56,5.36269469660774,1.24468227424749,NA,NA,NA,3.30368848542762
"CR08LR",4,3,1,5,5,4,4,2,4,5,2,4,3,2,3,2,1,1,3,1,2,1,1,1,1,1,"JSJ",4,3,1,5,5,4,4,2,4,NA,2,4,3,2,3,2,1,1,3,1,2,1,1,1,1,1,"JSJ","J","S","J","",2.44,1.56,0.56,-1.44,2.56,2.56,1.56,1.56,-0.44,1.56,2.56,-0.44,1.56,0.56,-0.44,0.56,-0.44,-1.44,-1.44,0.56,-1.44,-0.44,-1.44,-1.44,-1.44,-1.44,-1.44,4.99623506927855,2.24468227424749,4.99623506927855,NA,NA,4.0790508042682
"AN02XX",4,1,3,3,2,2,1,2,3,3,3,2,5,5,4,3,3,4,4,4,1,1,2,3,5,5,"YP",4,1,3,3,2,2,1,2,3,3,3,2,5,5,4,NA,3,4,4,4,1,1,2,3,5,5,"YP","Y","P","","",3,1,-2,0,0,-1,-1,-2,-1,0,0,0,-1,2,2,1,0,0,1,1,1,-2,-2,-1,0,2,2,5.29437171524128,3.10803631151457,NA,NA,NA,4.20120401337793
"BA03RG",2,5,4,5,3,2,2,2,4,3,2,5,4,3,5,3,2,2,5,3,2,2,2,3,2,2,"LMP",2,5,4,5,3,2,2,2,4,3,2,5,4,3,5,NA,2,2,5,3,2,2,2,3,2,2,"LMP","L","M","P","",3.04,-1.04,1.96,0.96,1.96,-0.04,-1.04,-1.04,-1.04,0.96,-0.04,-1.04,1.96,0.96,-0.04,1.96,-0.04,-1.04,-1.04,1.96,-0.04,-1.04,-1.04,-1.04,-0.04,-1.04,-1.04,4.73536550406116,3.03350215002389,3.10803631151457,NA,NA,3.62563465519987
"EK01GO",5,4,2,4,5,3,5,3,1,5,2,4,5,5,2,2,1,2,2,4,4,5,5,2,2,4,"LF",5,4,2,4,5,NA,5,3,1,5,2,4,5,5,2,2,1,2,2,4,4,5,5,2,2,4,"LF","L","F","","",3.4,1.6,0.6,-1.4,0.6,1.6,-0.4,1.6,-0.4,-2.4,1.6,-1.4,0.6,1.6,1.6,-1.4,-1.4,-2.4,-1.4,-1.4,0.6,0.6,1.6,1.6,-1.4,-1.4,0.6,3.73536550406116,3.39996177735308,NA,NA,NA,3.56766364070712
"MR03TO",3,4,4,3,3,3,4,3,3,4,3,2,4,3,3,3,4,4,4,2,2,3,3,3,4,3,"CVC",3,4,NA,3,3,3,4,3,3,4,3,2,4,3,3,3,4,4,4,2,2,3,3,3,4,3,"CVC","C","V","C","",3.2,-0.2,0.8,0.8,-0.2,-0.2,-0.2,0.8,-0.2,-0.2,0.8,-0.2,-1.2,0.8,-0.2,-0.2,-0.2,0.8,0.8,0.8,-1.2,-1.2,-0.2,-0.2,-0.2,0.8,-0.2,4.18878165312948,3.36269469660774,4.18878165312948,NA,NA,3.9134193342889
"PT09MS",4,4,2,3,3,3,3,4,3,4,3,3,4,2,4,3,1,3,3,2,3,4,1,1,1,4,"ZMFV",4,4,2,3,3,3,3,4,3,4,3,3,4,2,4,3,1,3,3,2,3,NA,1,1,1,4,"ZMFV","Z","M","F","V",2.84,1.16,1.16,-0.84,0.16,0.16,0.16,0.16,1.16,0.16,1.16,0.16,0.16,1.16,-0.84,1.16,0.16,-1.84,0.16,0.16,-0.84,0.16,1.16,-1.84,-1.84,-1.84,1.16,4.03971333014811,3.03350215002389,3.39996177735308,4.36269469660774,NA,3.70896798853321
"AG06DE",5,5,3,4,4,2,2,2,5,2,4,4,5,5,5,5,4,2,3,2,4,4,4,5,5,3,"AK",5,5,3,4,4,2,2,2,5,2,NA,4,5,5,5,5,4,2,3,2,4,4,4,5,5,3,"AK","A","K","","",3.76,1.24,1.24,-0.76,0.24,0.24,-1.76,-1.76,-1.76,1.24,-1.76,0.24,0.24,1.24,1.24,1.24,1.24,0.24,-1.76,-0.76,-1.76,0.24,0.24,0.24,1.24,1.24,-0.76,4.13288103201147,4.1142474916388,NA,NA,NA,4.12356426182513
